,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
51,CHEMBL1812545,Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,100000.0,inactive,391.55500000000023,6.8623000000000065,2.0,2.0,100000.0,4.0
52,CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,61000.0,inactive,381.69000000000005,5.801400000000003,0.0,3.0,61000.0,4.214670164989233
53,CHEMBL1475252,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,100000.0,inactive,344.845,5.376700000000004,0.0,2.0,100000.0,4.0
54,CHEMBL1221,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,29300.0,inactive,346.33900000000006,2.1756,1.0,7.0,29300.0,4.533132379645891
55,CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,100000.0,inactive,300.44200000000006,5.602600000000005,1.0,1.0,100000.0,4.0
56,CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,109000.0,inactive,165.22099999999998,1.5819,2.0,4.0,109000.0,3.962573502059376
57,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,17800.0,inactive,108.14399999999998,0.9722000000000002,2.0,2.0,17800.0,4.749579997691106
58,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,94000.0,inactive,268.72900000000004,2.5166700000000004,2.0,5.0,94000.0,4.026872146400302
59,CHEMBL7301,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,59900.0,inactive,326.79100000000005,3.264520000000001,1.0,6.0,59900.0,4.2225731776106885
60,CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,11200.0,inactive,238.26500000000004,3.8724000000000025,1.0,1.0,11200.0,4.950781977329818
61,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,51600.0,inactive,229.21800000000002,1.9904999999999995,2.0,3.0,51600.0,4.287350298372789
62,CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],46000.0,inactive,232.214,1.4370999999999998,2.0,2.0,46000.0,4.337242168318426
63,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,301300.0,inactive,232.214,1.4370999999999998,2.0,2.0,301300.0,3.521000868326643
64,CHEMBL1933308,NNc1nc2ccccc2s1,50500.0,inactive,232.214,1.4370999999999998,2.0,2.0,50500.0,4.296708621881339
65,CHEMBL456807,NNc1ccccc1,200.0,active,275.14900000000006,-0.8352999999999986,1.0,1.0,200.0,6.698970004336019
84,CHEMBL3318333,Cc1ccc(-n2nnnc2C/C=N/Nc2ccc(Cl)cc2)cc1,340.0,active,408.47700000000015,4.721100000000003,1.0,5.0,340.0,6.468521082957745
85,CHEMBL355606,Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,80000.0,inactive,438.97400000000016,6.814600000000006,1.0,2.0,80000.0,4.096910013008056
86,CHEMBL1812545,Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,400000.0,inactive,382.52300000000014,5.732700000000006,1.0,2.0,400000.0,3.3979400086720375
89,CHEMBL4086143,O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1,94.0,active,407.92000000000013,6.981100000000005,1.0,2.0,94.0,7.026872146400302
90,CHEMBL4534417,Nc1ccc2cc3cccc[n+]3cc2c1.[Br-],164.0,active,472.9420000000002,7.645900000000005,1.0,3.0,164.0,6.785156151952302
91,CHEMBL4557994,O=C(NCc1cccc(Cn2cnc3ccccc32)c1)c1cc(Br)c[nH]1,12.7,active,419.9560000000002,6.8959000000000055,1.0,3.0,12.7,7.896196279044044
92,CHEMBL4448402,O=C(NCc1cccc(Cn2cnc3ccccc32)c1)c1cc2ccccc2[nH]1,9.3,active,422.9350000000002,6.766200000000005,1.0,3.0,9.3,8.031517051446064
93,CHEMBL4458549,N#Cc1ccc(C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)cc1,111.7,active,421.9470000000002,7.371200000000006,1.0,2.0,111.7,6.951946826884391
94,CHEMBL4515137,O=C(CNc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21)NCCO,28.0,active,408.90800000000013,6.376100000000004,1.0,3.0,28.0,7.552841968657781
95,CHEMBL4763375,C[C@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@]2(CC1)COc1cc(C(F)(F)F)ccc12,7.8,active,407.92000000000013,6.981100000000005,1.0,2.0,7.8,8.10790539730952
96,CHEMBL4751227,CC[C@@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,38.0,active,540.5860000000001,7.1032000000000055,1.0,7.0,38.0,7.42021640338319
97,CHEMBL4743409,C[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,3.0,active,476.5520000000003,5.8334000000000055,1.0,7.0,3.0,8.522878745280337
98,CHEMBL4747228,COc1ccc(C(=O)N[C@H](C)[C@H]2CC[C@@H](c3ccnc4ccc(F)cc43)CC2)cc1N1CCOCC1,20.0,active,458.5620000000003,6.121700000000005,1.0,7.0,20.0,7.698970004336019
99,CHEMBL4793928,C[C@@H](NC(=O)C12CCC(Cl)(CC1)CC2)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,56.0,active,478.5430000000003,6.736100000000005,1.0,6.0,56.0,7.251811972993799
